Quote
i love deadlines i love the whooshing noise they make as they go by
there is no greater agony than bearing an untold story inside you
what really knocks me out is a book that when youre all done reading it you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it that doesnt happen much though
if theres a book that you want to read but it hasnt been written yet then you must write it
there is nothing to writing all you do is sit down at a typewriter and bleed
you have to write the book that wants to be written and if the book will be too difficult for grownups then you write it for children
if you dont have time to read you dont have the time or the tools to write simple as that
lock up your libraries if you like but there is no gate no lock no bolt that you can set upon the freedom of my mind
substitute damn every time youre inclined to write very your editor will delete it and the writing will be just as it should be
we write to taste life twice in the moment and in retrospect
one day i will find the right words and they will be simple
we live and breathe words it was books that made me feel that perhaps i was not completely alone they could be honest with me and i with them reading your words what you wrote how you were lonely sometimes and afraid but always brave the way you saw the world its colors and textures and sounds i felti felt the way you thought hoped felt dreamt i felt i was dreaming and thinking and feeling with you i dreamed what you dreamed wanted what you wantedand then i realized that truly i just wanted you
fantasy is hardly an escape from reality its a way of understanding it
and by the way everything in life is writable about if you have the outgoing guts to do it and the imagination to improvise the worst enemy to creativity is selfdoubt
you never have to change anything you got up in the middle of the night to write
read read read read everything trash classics good and bad and see how they do it just like a carpenter who works as an apprentice and studies the master read youll absorb it then write if its good youll find out if its not throw it out of the window
no tears in the writer no tears in the reader no surprise in the writer no surprise in the reader
those who find ugly meanings in beautiful things are corrupt without being charming this is a fault those who find beautiful meanings in beautiful things are the cultivated for these there is hope they are the elect to whom beautiful things mean only beauty there is no such thing as a moral or an immoral book books are well written or badly written that is all
you must stay drunk on writing so reality cannot destroy you
the difference between the almost right word and the right word is really a large matter tis the difference between the lightning bug and the lightning
the road to hell is paved with adverbs
fiction is the truth inside the lie
dont tell me the moon is shining show me the glint of light on broken glass
words can be like xrays if you use them properly theyll go through anything you read and youre pierced
writing is a socially acceptable form of schizophrenia
the scariest moment is always just before you start
start writing no matter what the water does not flow until the faucet is turned on
there is no real ending its just the place where you stop the story
after nourishment shelter and companionship stories are the thing we need most in the world
history will be kind to me for i intend to write it
how vain it is to sit down to write when you have not stood up to live
stories may well be lies but they are good lies that say true things and which can sometimes pay the rent
we have to continually be jumping off cliffs and developing our wings on the way down
the first draft of anything is shit
if you want to really hurt you parents and you dont have the nerve to be gay the least you can do is go into the arts im not kidding the arts are not a way to make a living they are a very human way of making life more bearable practicing an art no matter how well or badly is a way to make your soul grow for heavens sake sing in the shower dance to the radio tell stories write a poem to a friend even a lousy poem do it as well as you possible can you will get an enormous reward you will have created something
all you have to do is write one true sentence write the truest sentence that you know
if you want to be a writer you must do two things above all others read a lot and write a lot
i can shake off everything as i write my sorrows disappear my courage is reborn
there are three rules for writing a novel unfortunately no one knows what they are
you can you should and if youre brave enough to start you will
a writer is someone for whom writing is more difficult than it is for other people
there are books of which the backs and covers are by far the best parts
dont bend dont water it down dont try to make it logical dont edit your own soul according to the fashion rather follow your most intense obsessions mercilessly
let me live love and say it well in good sentences
here is a lesson in creative writing first rule do not use semicolons they are transvestite hermaphrodites representing absolutely nothing all they do is show youve been to college
fill your paper with the breathings of your heart
there is something delicious about writing the first words of a story you never quite know where theyll take you
tomorrow may be hell but today was a good writing day and on the good writing days nothing else matters
a word after a word after a word is power
tears are words that need to be written
you can make anything by writing
you must write every single day of your life you must lurk in libraries and climb the stacks like ladders to sniff books like perfumes and wear books like hats upon your crazy heads may you be in love every day for the next 20000 days and out of that love remake a world
